Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
ALUMINIUM DU MAROC,01/04/2026,ALUMINIUM DU MAROC,ALM,1733.0,1800.0,1800.0,1733.0,30,52325.0,5,838717200.0
ALUMINIUM DU MAROC,31/03/2026,ALUMINIUM DU MAROC,ALM,1818.0,1817.0,1818.0,1817.0,51,92669.0,5,846638418.0
ALUMINIUM DU MAROC,30/03/2026,ALUMINIUM DU MAROC,ALM,1750.0,1820.0,1849.0,1750.0,101,180239.0,22,848036280.0
ALUMINIUM DU MAROC,27/03/2026,ALUMINIUM DU MAROC,ALM,1739.0,1739.0,1739.0,1739.0,1,1739.0,1,810294006.0
ALUMINIUM DU MAROC,26/03/2026,ALUMINIUM DU MAROC,ALM,1747.0,1747.0,1747.0,1747.0,1,1747.0,1,814021638.0
ALUMINIUM DU MAROC,25/03/2026,ALUMINIUM DU MAROC,ALM,-,1748.0,-,-,-,-,-,814487592.0
ALUMINIUM DU MAROC,24/03/2026,ALUMINIUM DU MAROC,ALM,1684.0,1748.0,1748.0,1684.0,42,72782.0,5,814487592.0
ATTIJARIWAFA BANK,09/04/2026,ATTIJARIWAFA BANK,ATW,708.0,703.1,709.0,703.0,69113,48688640.9,131,151265523900.9
ATTIJARIWAFA BANK,08/04/2026,ATTIJARIWAFA BANK,ATW,700.0,706.0,710.0,700.0,117052,82461928.0,362,151889432334.0
ATTIJARIWAFA BANK,07/04/2026,ATTIJARIWAFA BANK,ATW,680.0,676.0,690.0,675.0,60687,41132267.7,268,145435207164.0
ATTIJARIWAFA BANK,06/04/2026,ATTIJARIWAFA BANK,ATW,692.0,680.0,692.9,680.0,114292,77839476.6,251,146295770520.0
ATTIJARIWAFA BANK,03/04/2026,ATTIJARIWAFA BANK,ATW,689.9,681.2,694.0,681.2,123945,84703996.9,214,146553939526.8
ATTIJARIWAFA BANK,02/04/2026,ATTIJARIWAFA BANK,ATW,690.0,690.0,690.0,688.0,77051,53158613.3,134,148447178910.0
ATTIJARIWAFA BANK,01/04/2026,ATTIJARIWAFA BANK,ATW,690.0,691.9,700.0,685.0,108085,74863658.9,226,148855946504.1
ATTIJARIWAFA BANK,31/03/2026,ATTIJARIWAFA BANK,ATW,685.0,684.9,685.5,682.0,20931,14305400.5,212,147349960631.1
ATTIJARIWAFA BANK,30/03/2026,ATTIJARIWAFA BANK,ATW,680.0,687.7,693.8,680.0,6400,4372330.8,245,147952354980.3
ATTIJARIWAFA BANK,27/03/2026,ATTIJARIWAFA BANK,ATW,690.7,680.2,700.0,680.2,62957,43122990.0,359,146338798687.8
ATTIJARIWAFA BANK,26/03/2026,ATTIJARIWAFA BANK,ATW,695.1,694.0,700.0,694.0,35212,24469674.4,293,149307742266.0
ATTIJARIWAFA BANK,25/03/2026,ATTIJARIWAFA BANK,ATW,692.1,703.8,705.0,692.1,444068,311348472.7,231,151416122488.2
ATTIJARIWAFA BANK,24/03/2026,ATTIJARIWAFA BANK,ATW,710.0,690.0,710.0,690.0,220942,155985735.3,224,148447178910.0
ATLANTASANAD,09/04/2026,ATLANTASANAD,ATL,136.0,135.6,138.9,134.15,9232,1252407.1,39,8174455482.0
ATLANTASANAD,08/04/2026,ATLANTASANAD,ATL,136.0,135.0,138.7,134.25,12909,1746791.75,62,8138285325.0
